WikiData ID,Language,Label,Matching SilkNow Item IDs,mapping properties
Q140,fr,lion,767,#BroadMatch
Q140,it,leone,767,#BroadMatch
Q140,es,león,767,#BroadMatch
Q140,en,lion,767,#BroadMatch
Q14378,en,neoclassicism,674,#CloseMatch
Q14660,fr,drapeau,719,#ExactMatch
Q14660,en,flag,719,#ExactMatch
Q14660,es,bandera,719,#ExactMatch
Q14660,it,bandiera,719,#ExactMatch
Q14952,fr,couvre-chef,712,#BroadMatch
Q14952,it,copricapo,721,#BroadMatch
Q28823,fr,textile,857,#NarrowMatch
Q28823,it,tessuto,649,NoMatch
Q28823,en,textile,857,#NarrowMatch
Q28823,es,textil,857,#NarrowMatch
Q45926,fr,couronne,755,NoMatch
Q48444,fr,phénix,835,NoMatch
Q48444,it,fenice,839,#BroadMatch
Q48444,en,phoenix,839,#BroadMatch
Q75794,it,bolla,84, NoMatch
Q101949,fr,manteau,716,NoMatch
Q101949,en,mantle,716,NoMatch
Q102231,en,rose,785,#BroadMatch
Q102231,fr,rose,785,#BroadMatch
Q112110,es,emblema,789,NoMatch
Q112110,en,emblem,789,NoMatch
Q134737,es,nobleza,533,NoMatch
Q140101,en,ikat,287,#ExactMatch
Q140101,fr,ikat,287,#ExactMatch
Q140101,it,ikat,287,#ExactMatch
Q150425,it,armatura,318,NoMatch
Q154262,it,paramento,732,#NarrowMatch
Q162827,es,atlas,125,NoMatch
Q162827,fr,atlas,125,NoMatch
Q191421,es,lama,302,NoMatch
Q192411,es,pañuelo,712,#RelatedMatch
Q192411,it,fazzoletto,712,#RelatedMatch
Q192521,en,technical drawing,441,#RelatedMatch
Q196672,fr,côte,405,NoMatch
Q196672,it,costa,405,NoMatch
Q196672,en,rib,405,NoMatch
Q199657,it,lettura,282,NoMatch
Q200691,it,pallio,726,#ExactMatch
Q208145,en,iconography,817,#BroadMatch
Q211025,fr,marche,396 648,NoMatch
Q215172,fr,chasuble,702,#ExactMatch
Q215172,es,casulla,702,#ExactMatch
Q215172,it,casula,702,#ExactMatch
Q215172,en,chasuble,702,#ExactMatch
Q220648,fr,cadre,429,NoMatch
Q275068,fr,bouillon,129,NoMatch
Q276469,it,bolla,84,NoMatch
Q284523,es,arnés,41,NoMatch
Q285272,fr,cocarde,757,NoMatch
Q287750,fr,chevron,189,NoMatch
Q305026,fr,pédale,648,NoMatch
Q333518,fr,harnais,41,NoMatch
Q335261,fr,ornement,18 861,NoMatch
Q336533,en,badge,789,NoMatch
Q358148,fr,aigle,771,#ExactMatch
Q358148,it,aquila,771,#ExactMatch
Q358148,es,águila,771,#ExactMatch
Q358148,en,eagle,771,#ExactMatch
Q391414,es,elemento arquitectónico,748,#RelatedMatch
Q415908,en,acanthus,822,#ExactMatch
Q415908,it,acanto,822,#ExactMatch
Q415908,es,acanto,822,#ExactMatch
Q472927,en,galloon,230,#ExactMatch
Q472927,es,galón,230,#ExactMatch
Q487432,en,harness,41 414,NoMatch
Q527395,it,nodo,757,NoMatch
Q528285,en,tunicle,729,#ExactMatch
Q646462,fr,bout,485,#RelatedMatch
Q676245,en,girdle,139,NoMatch
Q682582,es,peluche,439,NoMatch
Q682582,it,peluche,439,NoMatch
Q691189,en,chiffon,142,#ExactMatch
Q691189,it,chiffon,142,#ExactMatch
Q691189,fr,chiffon,142,#ExactMatch
Q709069,en,banner,720,NoMatch
Q731434,fr,dragon,774,NoMatch
Q731434,it,drago,774,NoMatch
Q756600,fr,guirlande,760,#ExactMatch
Q756600,es,guirnalda,760,#ExactMatch
Q756600,en,garland,760,#ExactMatch
Q756600,it,ghirlanda,760,#ExactMatch
Q878985,en,modernism,673,#BroadMatch
Q908349,fr,motif,742,NoMatch
Q908349,en,motif,742,NoMatch
Q908349,es,motivo,742,NoMatch
Q910914,en,tablet weaving,521,#ExactMatch
Q912546,it,riduzione,166,NoMatch
Q912546,fr,réduction,166,NoMatch
Q917206,it,fondo,221 223,NoMatch
Q953243,en,royal blue,386,NoMatch
Q1026040,fr,chagrin,374,NoMatch
Q1054559,en,celadon,394,NoMatch
Q1064975,it,telaio,450,NoMatch
Q1070065,en,chenille,417,#ExactMatch
Q1097859,en,pill,226,NoMatch
Q1122677,en,modernism,673,#NarrowMatch
Q1132541,it,guarnizione,240,NoMatch
Q1150730,it,riduzione,166,NoMatch
Q1154705,fr,chevron,189,NoMatch
Q1164991,es,teñido,452,#ExactMatch
Q1164991,en,dyeing,452,#ExactMatch
Q1191504,en,star,762,#BroadMatch
Q1191504,it,stella,762,#BroadMatch
Q1191504,es,estrella,762,#BroadMatch
Q1229420,en,thistle,765,#CloseMatch
Q1229420,fr,chardon,765,#CloseMatch
Q1229420,es,cardo,765,#CloseMatch
Q1231985,it,pedale,648,#RelatedMatch
Q1231985,fr,pédale,648,#RelatedMatch
Q1251441,it,capo,485,NoMatch
Q1254187,en,dragon,774,#CloseMatch
Q1324888,en,frame,783,NoMatch
Q1337738,es,estrella,762,NoMatch
Q1353185,en,power loom,504,#ExactMatch
Q1353185,it,telaio meccanico,504,#ExactMatch
Q1371499,en,flag,719,NoMatch
Q1380786,en,mantle,716 738,NoMatch
Q1380786,es,manto,716 738,NoMatch
Q1380786,fr,manteau,716 738,NoMatch
Q1380786,it,mantello,716 738,NoMatch
Q1401935,it,disposizione,799,#RelatedMatch
Q1475346,it,capo,485,NoMatch
Q1481374,it,cornucopia,820,#CloseMatch
Q1481374,en,cornucopia,820,#CloseMatch
Q1481374,es,cornucopia,820,#CloseMatch
Q1488331,es,manto,716 738,NoMatch
Q1536781,en,aurora,53,NoMatch
Q1587577,fr,foulard,722,#ExactMatch
Q1587577,en,foulard,722,#ExactMatch
Q1753397,es,marco,429,NoMatch
Q1781358,fr,bouquet,759,NoMatch
Q1788543,en,mantle,716 738,NoMatch
Q2014788,fr,dragon,774,NoMatch
Q2348516,it,toro,825,#CloseMatch
Q2588838,en,ply,63 530,NoMatch
